iso3,global,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,pixel_fraction,rect,mkt_tc_b,mkt_tc_s,savings,transaction
NZL,Global,326778.4278958354,38063.976358229294,400102.40860724327,411765.3826313349,58867.76051612671,500388.9471849202,0.2602138212251707,NA,0.22975815854821852,0.4326373135333149,19526.446220649155,1277.3379372482632,40330.23037854658,1277.3379372482632,Buyers
ATF,Global,87052.80935208366,5707.32480917871,101703.06210291151,84888.63841279886,5250.139129496724,99206.04859668935,0.2081037216698347,NA,0.22975815854821852,0.4326373135333149,497.2359297936438,-954.4216094756295,40.05025011165799,40.05025011165799,Sellers
HMD,Global,73606.35826156133,709.8442518180236,86696.69721717217,0,0,0,NA,0.21762127923238644,0.22975815854821852,0.4326373135333149,16911.661331616782,-17621.505583434806,16201.817079798759,16201.817079798759,Doesn't participate
CAN,Global,1097233.8824545487,32498.368803877383,1401030.6524957449,561402.1264559402,733.1895407864592,721455.2450074912,0.005335187565389038,NA,0.22975815854821852,0.4326373135333149,123111.71754989863,-154876.89681298955,91346.53828680771,91346.53828680771,Sellers
ARG,Global,19876.751133839025,56.196836195886135,23874.548875582273,113198.56648354392,23844297.39028066,134018.20182829813,589.1620999074428,NA,0.22975815854821852,0.4326373135333149,21441.448447125073,23822799.744997337,23865682.64189159,23822799.744997337,Buyers
IRL,Global,31342.247131170003,1368.6644798666239,36916.10850122506,43943.79916865144,16490.06375746561,51604.115764642884,1.6802151855521952,NA,0.22975815854821852,0.4326373135333149,2895.309390981287,12226.0898866177,18016.70866858027,12226.0898866177,Buyers
RUS,Global,268991.3117578665,14117.041064999998,334516.9854435154,662556.234434097,262312.2499381543,832946.4876541568,0.9628606879185113,NA,0.22975815854821852,0.4326373135333149,90424.75190326272,157770.4569698916,338619.96077641705,157770.4569698916,Buyers
PCN,Global,291834.813151592,19766.163383990526,381406.80541854317,54492.76672455163,277.4238683913404,71334.97955308491,0.011194292943417802,NA,0.22975815854821852,0.4326373135333149,54531.27153314258,-74020.01104874177,35042.532017543395,35042.532017543395,Sellers
PYF,Global,388371.0236627319,2205.8978713154793,506143.9007152019,523070.44789182034,164482.28411894402,664248.0329813826,1.4322684709728857,NA,0.22975815854821852,0.4326373135333149,30948.291668380643,131328.0945792479,193224.67791600918,131328.0945792479,Buyers
SJM,Global,35163.571203387786,2155.6866001039743,43964.118573967746,11516.794321186782,100.66113905603616,14251.776044598766,0.01966608116521027,NA,0.22975815854821852,0.4326373135333149,5433.0399120550865,-7488.065373103025,3378.014451007148,3378.014451007148,Sellers
GRL,Global,21232.345521714135,819.9812479093671,24712.990181724897,129737.76647321288,430649.94347996236,158324.33675002813,9.021614495641858,NA,0.22975815854821852,0.4326373135333149,24930.00571031564,404899.95652173733,454759.96794236865,404899.95652173733,Buyers
TKL,Global,186627.4377895367,1179.2735164761543,237307.6489300199,37762.93260773187,31.259937723788465,47858.53386922761,0.0011823029803251027,NA,0.22975815854821852,0.4326373135333149,34202.83458376321,-35350.84816251558,33054.82100501084,33054.82100501084,Sellers
UKR,Global,13129.880987184246,66.54612404108047,22208.853159489106,11733.81949030057,34.278100893062465,19992.050298659604,0.006158360321237174,NA,0.22975815854821852,0.4326373135333149,320.75651874406293,-353.02454189208095,288.4884955960449,288.4884955960449,Sellers
ISL,Global,91518.86509760474,3066.7873954176903,111071.06698263876,76440.38979457923,954.2770556511282,92921.96427228978,0.04194373319667084,NA,0.22975815854821852,0.4326373135333149,3464.402719337932,-5576.913059104494,1351.89237957137,1351.89237957137,Sellers
ZAF,Global,779081.9900821727,41661.0492579937,875324.5662374294,167031.5027617464,243.06122212340722,197037.18948007282,0.002237919731053991,NA,0.22975815854821852,0.4326373135333149,140623.5929052809,-182041.5809411512,99205.60486941061,99205.60486941061,Sellers
NIU,Global,228642.09769918674,1461.6176500320435,278263.2214040312,39137.46695640757,57.043790014470275,47995.25442596552,0.0020209690126955174,NA,0.22975815854821852,0.4326373135333149,43540.23499582106,-44944.80885583864,42135.661135803486,42135.661135803486,Sellers
WLF,Global,58553.68176970642,4222.755481004715,74823.70763685081,23410.494508107215,420.64383731725,29717.559392982537,0.05436599939842978,NA,0.22975815854821852,0.4326373135333149,8074.433990740243,-11876.545634427708,4272.322347052777,4272.322347052777,Sellers
NAM,Global,226011.92229034612,3905.1915807724,268121.8271673155,63788.99686451709,219.3206392902737,74490.7837132383,0.0049487095543351,NA,0.22975815854821852,0.4326373135333149,37272.04062014345,-40957.91156162558,33586.169678661325,33586.169678661325,Sellers
GEO,Global,1464.9214311502308,2.7752718925476074,2281.301538398671,2188.974274016629,55016.14643151973,3491.4176588859473,75.97977371629246,NA,0.22975815854821852,0.4326373135333149,166.35704786858625,54847.014111758595,55179.72820749577,54847.014111758595,Buyers
BMU,Global,307458.6450405219,7164.2155838012695,343435.62663975585,49858.82505616767,540.6775427842736,55753.56923687131,0.014993382938858458,NA,0.22975815854821852,0.4326373135333149,59185.66028195781,-65809.19832297481,52562.122240940815,52562.122240940815,Sellers
MNP,Global,165359.56438314213,1792.9178614616394,183447.86834881423,91558.30163571208,491.8338623598038,100737.13194748959,0.006866522732951866,NA,0.22975815854821852,0.4326373135333149,16956.442227382766,-18257.526226484602,15655.35822828093,15655.35822828093,Sellers
